label,message
ham,"Hi, how are you doing today?"
spam,"Congratulations! You've won a free iPhone. Claim now."
ham,"Can we meet at 5 PM for the project discussion?"
spam,"Act now! Limited time offer for free subscription."
ham,"Don't forget to bring your laptop tomorrow."
spam,"Win $1000 cash prize. Click the link to participate."
ham,"Happy Birthday! Have a great day ahead."
spam,"Your account is at risk. Update your information here."
ham,"Can you please send me the report by EOD?"
spam,"Earn money from home. No investment required."
ham,"Let's catch up for coffee this weekend."
spam,"Get a free gift card worth $500 now!"
ham,"Meeting has been rescheduled to 3 PM tomorrow."
spam,"Urgent! Your account has been compromised. Reset your password."
ham,"I'm running late; will join the meeting in 10 minutes."
spam,"Exclusive offer: Buy one get one free. Shop today!"
ham,"Do you want to join the coding bootcamp next week?"
spam,"Congratulations! You are the lucky winner of a car."
ham,"Please share the updated files with the team."
spam,"Click here to claim your holiday package for free."
ham,"Can you confirm the venue for the event tomorrow?"
spam,"Limited time offer! Save 50% on your next purchase."
ham,"Looking forward to seeing you at the wedding."
spam,"Join our rewards program and earn exciting points."
ham,"Your order has been shipped and will arrive soon."
spam,"Make $5000 per week by working from home. Sign up now."
ham,"Can you send me the details for the assignment?"
spam,"Free entry to win a holiday trip. Don't miss out!"
ham,"Let's have lunch together this Friday."
spam,"Congratulations! You have been selected for a cash reward."
ham,"I need your help with this math problem."
spam,"Act fast! Special discount on all products until midnight."
ham,"Your presentation yesterday was really impressive."
spam,"Get your free trial now before it's too late."
ham,"What time are you coming over this evening?"
spam,"Update your payment information to avoid service interruption."
ham,"Please call me when you're free."
spam,"Unlock premium features for free. Limited time only."
ham,"Thank you for helping me with the project!"
spam,"Hurry! Exclusive deal expires in 2 hours. Click now!"
ham,"Are you attending the conference next month?"
spam,"Claim your gift card worth $1000 instantly."
ham,"Can you please check the error in the code?"
spam,"You have been pre-approved for a credit card. Apply today!"
ham,"Let me know when you're available for the call."
spam,"Your mobile number has won a lottery. Claim it now!"
ham,"I'll send you the documents by email."
spam,"Earn up to $1000 daily with no experience needed."
